id_factura,id_cliente,fecha_emision,monto_total,fecha_vencimiento
1001,19,01/11/2024,1805,01/12/2024
1002,19,02/11/2024,4188,02/12/2024
1003,5,03/11/2024,9986,03/12/2024
1004,18,04/11/2024,4827,04/12/2024
1005,15,05/11/2024,17575,05/12/2024
1006,9,06/11/2024,16853,06/12/2024
1007,19,07/11/2024,16914,07/12/2024
1008,3,08/11/2024,4045,08/12/2024
1009,6,09/11/2024,13271,09/12/2024
1010,18,20241110,17543,20241210
1011,1,11/11/2024,1689,11/12/2024
1012,10,12/11/2024,10305,12/12/2042
1013,7,13/11/2024,3664,13/12/2024
1014,13,14/11/2024,14652,14/12/2024
1015,20,15/11/2024,4491,15/12/2024
1016,23,16/11/2024,-11264,16/12/2024
1017,13,17/11/2024,6387,17/12/2024
1018,19,18/11/2024,5195,18/12/2024
1019,4,19/11/2024,19163,19/12/2024
1020,14,21/11/2024,15665,21/12/2024
1021,14,21/11/2024,6589,21/12/2024
1022,22,22/11/2024,-3972,22/12/2024
1023,20,23/11/2024,4681,23/12/2024
1024,11,24/11/2024,15998,24/12/2024
1025,16,25/11/2024,5457,25/12/2024
1026,15,26/11/2024,2442,26/12/2024
1027,12,27/11/2024,16446,27/12/2024
1028,10,28/11/2024,4253,28/12/2024
1029,4,29/11/2024,10347,29/12/2024
1030,7,30/11/2024,14584,30/12/0224
1031,11,01/12/2024,9521,31/12/2024
1032,11,02/12/2024,15857,01/01/2025
1033,24,03/12/2024,-17200,02/01/2025
1034,4,04/12/2024,1293,03/01/2025
1035,2,05/12/2024,2723,04/01/2025
1036,12,06/12/2024,5001,05/01/2025
1037,2,07/12/2024,12412,06/01/2025
1038,1,08/12/2024,7021,07/01/2025
1039,5,09/12/2024,11081,08/01/2025
1040,15,10/12/2024,16785,09/01/2052
1041,7,11/12/2024,6663,10/01/2025
1042,12,12/12/2024,19783,11/01/2025
1043,16,13/12/2024,13588,12/01/2025
1044,11,14/12/2024,17935,13/01/2025
1045,9,15/12/2024,8883,14/01/2025
1046,20,16/12/2024,11978,15/01/2025
1047,1,17/12/2024,2395,16/01/2025
1048,10,18/12/2024,13715,17/01/2025
1049,20,19/12/2024,4354,18/01/2025
1050,20,20/12/2024,15888,19/01/2025
