id_factura,id_pago,fecha_pago,monto_pago
1014,2001,12/11/2024,18641
1040,2002,09/11/2024,2390
1031,2003,14/11/2024,16638
1046,2004,23/11/2024,17352
1018,2005,15/11/2024,3735
1049,2006,07/12/2024,15775
1027,2007,04/12/2024,12547
1026,2008,20241209,7572
1033,2009,07/11/2024,14388
1020,2010,23/11/2024,11154
1013,2011,21/11/2024,-7250
1005,2012,19/11/2024,18451
1038,2013,16/11/2024,16911
1009,2014,14/11/2024,12802
1004,2015,08/11/2024,9572
1007,2016,24/11/2024,5418
1042,2017,14/11/2024,12580
1047,2018,09/12/2024,6873
1048,2019,10-12-024,6694
1016,2020,11/11/2024,12340
1010,2021,29/11/2024,-6817
1017,2022,06/11/2024,15559
1025,2023,19/11/2024,3955
1035,2024,15/11/2024,6376
1032,2025,03/12/2024,5383
1001,2026,19/11/2024,14014
1045,2027,07/11/2024,-18943
1028,2028,21/11/2024,8493
1034,2029,30/11/2024,9004
1006,2030,06/11/2024,3648
1030,2031,07/11/2024,10817
1012,2032,17/11/2024,-15673
1037,2033,20241108,9939
1002,2034,06/11/2024,8491
1022,2035,21/11/2024,3535
1003,2036,25/11/2024,6559
1044,2037,20241112,19943
1036,2038,10/12/2024,2125
1024,2039,05/12/2024,12927
1041,2040,30/11/2024,8013
1032,2041,01/12/2025,1500
1026,2042,21/12/2025,2000
